feature,ranking
I_18,1
CATARACT,1
I_11,1
I_23,1
HEART_BLOOD_TUBE,1
I_16,1
LUNG_RESPIRATORY,1
ANTI_HBC_AB_1,1
EYE_DIS,1
NECK_ACHE,1
I_43,1
BACK_AND_WAIST_ACHE,1
I_22,1
I_30,1
CARCINOMA_IN_SITU,1
I_34,1
I_39,1
I_31,1
I_26,1
OSTEOPOROSIS,1
PEPTIC_ULCER,1
I_8,1
I_42,1
I_24,1
AGE,1
ORTHOPEDICS_ARTICULUS,1
I_1,1
I_40,1
ARTICULUS_ACHE,1
DIABETES,1
I_7,1
GOUT,1
ANTI_HBS_AB_1,1
I_21,12
NERVOUS_SYSTEM,1
I_4,1
GASTROESOPHAGEA_REFLUX,1
T_SCORE,1
I_5,1
I_33,1
I_20,1
I_37,3
I_2,10
HYPERTENSION,1
I_14,1
COLORECTAL_CA,15
FLOATERS,7
SPO_HABIT,1
OTHER_CA,1
I_15,1
MICROALB,1
ASTHMA,11
I_38,1
LUNG_CA,14
LIVER_GALL_STONE,8
I_12,1
I_25,13
BODY_HEIGHT,1
ALIMENTARY_CANAL,1
I_10,4
AFP,1
HBA1C,1
CREATININE,1
BUN,1
BODY_WAISTLINE,1
I_36,4
HEADACHE_AND_HEMICRANIA,9
APOPLEXIA,1
CORONARY_ARTERY_DIS,2
T_BILIRUBIN,1
HDL_C,1
ALBUMIN,1
FASTING_GLUCOSE,1
TG,1
I_9,6
