feature,importance
I_18,0.22536805205780627
EYE_DIS,0.19887270385617004
MC_DURATION,0.058121977112286984
I_15,0.05472078132488898
I_35,0.04478030658467661
I_11,0.03466721471315146
MENSTRURATION_CURR,0.029486523475851928
I_22,0.02113883736479102
MENARCHE,0.019032008469550405
I_33,0.01844448148498384
I_12,0.016950587989935262
I_17,0.014684070200278173
BMI,0.011782926049634684
BODY_HEIGHT,0.011537560449923157
I_16,0.011510237040068337
ALIMENTARY_CANAL,0.011295190040698904
T_CHO,0.010837119238276637
BODY_WAISTLINE,0.009819666323568094
DEMENTIA,0.008950467472244957
I_14,0.00883593639795613
LDL_C,0.008535294419493843
HB,0.008344305479733917
HCT,0.008263787882834057
SIT_2_SYSTOLIC_PRESSURE,0.00795279071044377
T_BILIRUBIN,0.007057037261659962
BUN,0.006317841780736009
I_8,0.006276678466569201
SIT_SYSTOLIC_PRESSURE_AVERAGE,0.006264747878586558
JOB_LGST_OCCUPATION,0.0050638168943561625
AFP,0.004919127630904239
FASTING_GLUCOSE,0.00490870826357487
T_SCORE,0.0045685682673015995
PLATELET,0.0042521701145098074
NECK_ACHE,0.0041874413068464225
SIT_1_HEARTBEAT_SPEED,0.0040895955886792535
TG,0.004001683479966036
CREATININE,0.003968181440018809
HYPERTENSION,0.003575276048334982
HBA1C,0.0035741752676917214
SGOT,0.003216349530335608
GAMMA_GT,0.0032144371708972817
LUNG_RESPIRATORY,0.003184321575175627
ARRHYTHMIA,0.0031784229379793866
NERVOUS_SYSTEM,0.0030168862220413687
XEROPHTHALMIA,0.0029525602360349714
I_1,0.0029221055966645636
I_43,0.002903983268462913
WBC,0.002780825604585368
I_24,0.002756002564053627
CARCINOMA_IN_SITU,0.002717894568974985
SIT_HEARTBEAT_SPEED_AVERAGE,0.0027142144940065986
BODY_FAT_RATE,0.0025221972332684895
ANTI_HBS_AB_1,0.00251039617251206
I_13,0.0022662808336016737
I_38,0.0022187542188722214
HORMOME_MED,0.002110201714764425
BODY_BUTTOCKS,0.0018928426708495043
GOUT,0.001839625448341483
ANTI_HBC_AB_1,0.0017256007196624376
MICROALB,0.0016929021954497148
I_30,0.001683355894301313
I_27,0.0016576728772834885
HDL_C,0.0016172087596162297
SIT_1_SYSTOLIC_PRESSURE,0.0016109715908463565
LUNG_CA,0.0015367569142153853
I_3,0.0014671962591793503
I_5,0.001430029129555643
SIT_1_DIASTOLIC_PRESSURE,0.0014212017892497437
BODY_WEIGHT,0.0013051853166579281
IRRITABLE_BOWEL_SND,0.0012375090409793691
AGE,0.0011392207830307074
ALBUMIN,0.000894984217136865
PARKISON,0.0008941424002989636
SICATICA,0.0008098842221313296
MANIC_DEPRESSION,0.0
RBC,0.0
GASTROESOPHAGEA_REFLUX,0.0
SIT_2_HEARTBEAT_SPEED,0.0
PSYCHOSIS,0.0
SIT_2_DIASTOLIC_PRESSURE,0.0
DEPRESSION,0.0
SIT_DIASTOLIC_PRESSURE_AVERAGE,0.0
POSTPARTUM_DEPRESSION,0.0
DIABETES,0.0
OBSESSIVE_COMPULSIVE_DIS,0.0
ALCOHOLISM_DRUG_ABUSE,0.0
SCHIZOPHRENIA,0.0
EPILEPSY,0.0
HEMICRANIA,0.0
I_44,0.0
MULTIPLE_SCLEROSIS,0.0
PEPTIC_ULCER,0.0
APOPLEXIA,0.0
I_41,0.0
HYPERLIPIDEMIA,0.0
URIC_ACID,0.0
DRK,0.0
NUT_EXPERIENCE,0.0
SPO_HABIT,0.0
ORTHOPEDICS_ARTICULUS,0.0
SGPT,0.0
OSTEOPOROSIS,0.0
ARTHRITIS,0.0
ASTHMA,0.0
EMPHYSEMA_BRONCHITIS,0.0
HEART_BLOOD_TUBE,0.0
VALVE_HEART_DIS,0.0
CORONARY_ARTERY_DIS,0.0
CARDIOMYOPATHY,0.0
CONGENITAL_HEART_DIS,0.0
HBEAG_1,0.0
HBSAG_1,0.0
ANTI_HCV_AB_1,0.0
OTHER_HEART_DIS,0.0
I_42,0.0
COLOR_BLIND,0.0
I_40,0.0
DYSMENORRHEA,0.0
ARTICULUS_ACHE,0.0
BACK_AND_WAIST_ACHE,0.0
I_10,0.0
I_9,0.0
HEADACHE_AND_HEMICRANIA,0.0
I_7,0.0
I_6,0.0
SEX,0.0
I_4,0.0
I_2,0.0
OTHER_EYE_DIS,0.0
CATARACT,0.0
I_0,0.0
OVARIAN_CA,0.0
CERVICAL_CA,0.0
UTERINE_CA,0.0
GLAUCOMA,0.0
RENTINAL_DETACHMENT,0.0
FLOATERS,0.0
BLIND,0.0
OTHER_CA,0.0
PROSTATE_CA,0.0
NASOPHARYNGEAL_CA,0.0
COLORECTAL_CA,0.0
I_37,0.0
I_36,0.0
LIVER_GALL_STONE,0.0
I_34,0.0
KIDNEY_STONE,0.0
I_31,0.0
RENAL_FAILURE,0.0
I_29,0.0
I_28,0.0
VERTIGO,0.0
I_26,0.0
I_25,0.0
LIVER_CA,0.0
I_23,0.0
BREAST_CA,0.0
I_21,0.0
I_20,0.0
I_19,0.0
GASTRIC_CA,0.0
I_39,0.0
