feature,importance
I_18,0.3459431852271099
I_22,0.19668976509226554
ANTI_HBC_AB_1,0.14414790246901252
I_11,0.10380284835727133
AGE,0.04015806403150192
I_40,0.02915593027348052
I_16,0.02331370116099617
BODY_HEIGHT,0.02131435150695761
I_43,0.02064125181500917
HBA1C,0.017798636342246377
I_24,0.009989521112395063
I_1,0.008971660863084307
I_23,0.008834758678812567
GOUT,0.008039197237089327
I_26,0.006816076629123869
PROSTATE_CA,0.006512761219127835
FASTING_GLUCOSE,0.005195840231944818
HB,0.002674547752571286
I_19,0.0
I_37,0.0
I_38,0.0
I_41,0.0
I_39,0.0
I_14,0.0
I_35,0.0
I_42,0.0
I_13,0.0
I_44,0.0
I_36,0.0
I_30,0.0
I_34,0.0
I_33,0.0
I_31,0.0
I_29,0.0
BODY_WEIGHT,0.0
I_27,0.0
I_25,0.0
I_15,0.0
I_17,0.0
I_21,0.0
I_20,0.0
I_28,0.0
BODY_BUTTOCKS,0.0
BMI,0.0
ALBUMIN,0.0
ANTI_HBS_AB_1,0.0
T_CHO,0.0
TG,0.0
HDL_C,0.0
LDL_C,0.0
T_BILIRUBIN,0.0
SGOT,0.0
HBSAG_1,0.0
SGPT,0.0
GAMMA_GT,0.0
AFP,0.0
BUN,0.0
CREATININE,0.0
URIC_ACID,0.0
HBEAG_1,0.0
ANTI_HCV_AB_1,0.0
BODY_WAISTLINE,0.0
SIT_2_DIASTOLIC_PRESSURE,0.0
SIT_SYSTOLIC_PRESSURE_AVERAGE,0.0
SIT_DIASTOLIC_PRESSURE_AVERAGE,0.0
SIT_HEARTBEAT_SPEED_AVERAGE,0.0
SIT_1_SYSTOLIC_PRESSURE,0.0
SIT_1_DIASTOLIC_PRESSURE,0.0
SIT_2_SYSTOLIC_PRESSURE,0.0
SIT_1_HEARTBEAT_SPEED,0.0
HCT,0.0
SIT_2_HEARTBEAT_SPEED,0.0
T_SCORE,0.0
BODY_FAT_RATE,0.0
RBC,0.0
WBC,0.0
PLATELET,0.0
I_12,0.0
I_9,0.0
I_10,0.0
HYPERLIPIDEMIA,0.0
APOPLEXIA,0.0
DIABETES,0.0
ALIMENTARY_CANAL,0.0
PEPTIC_ULCER,0.0
GASTROESOPHAGEA_REFLUX,0.0
IRRITABLE_BOWEL_SND,0.0
PSYCHOSIS,0.0
DEPRESSION,0.0
MANIC_DEPRESSION,0.0
POSTPARTUM_DEPRESSION,0.0
OBSESSIVE_COMPULSIVE_DIS,0.0
ALCOHOLISM_DRUG_ABUSE,0.0
SCHIZOPHRENIA,0.0
NERVOUS_SYSTEM,0.0
EPILEPSY,0.0
HYPERTENSION,0.0
OTHER_HEART_DIS,0.0
MULTIPLE_SCLEROSIS,0.0
CONGENITAL_HEART_DIS,0.0
JOB_LGST_OCCUPATION,0.0
DRK,0.0
NUT_EXPERIENCE,0.0
SPO_HABIT,0.0
ORTHOPEDICS_ARTICULUS,0.0
OSTEOPOROSIS,0.0
ARTHRITIS,0.0
LUNG_RESPIRATORY,0.0
ASTHMA,0.0
EMPHYSEMA_BRONCHITIS,0.0
HEART_BLOOD_TUBE,0.0
VALVE_HEART_DIS,0.0
CORONARY_ARTERY_DIS,0.0
ARRHYTHMIA,0.0
CARDIOMYOPATHY,0.0
HEMICRANIA,0.0
PARKISON,0.0
SEX,0.0
EYE_DIS,0.0
GLAUCOMA,0.0
XEROPHTHALMIA,0.0
RENTINAL_DETACHMENT,0.0
FLOATERS,0.0
BLIND,0.0
COLOR_BLIND,0.0
OTHER_EYE_DIS,0.0
I_0,0.0
I_2,0.0
I_3,0.0
I_4,0.0
I_5,0.0
I_6,0.0
I_7,0.0
I_8,0.0
CATARACT,0.0
HEADACHE_AND_HEMICRANIA,0.0
DEMENTIA,0.0
SICATICA,0.0
LIVER_GALL_STONE,0.0
KIDNEY_STONE,0.0
RENAL_FAILURE,0.0
VERTIGO,0.0
CARCINOMA_IN_SITU,0.0
LIVER_CA,0.0
LUNG_CA,0.0
BREAST_CA,0.0
GASTRIC_CA,0.0
COLORECTAL_CA,0.0
NASOPHARYNGEAL_CA,0.0
OTHER_CA,0.0
ARTICULUS_ACHE,0.0
NECK_ACHE,0.0
BACK_AND_WAIST_ACHE,0.0
MICROALB,0.0
