feature,importance
I_18,0.02944489139179408
AGE,0.020695897023330644
I_11,0.01357602574416732
TG,0.0039420756234915255
I_30,0.0037208366854384447
I_23,0.0036806114239742336
I_9,0.00349959774738533
FASTING_GLUCOSE,0.003278358809332249
I_3,0.0028157683024939264
I_4,0.0026146419951729393
I_34,0.0019308125502815576
BODY_WEIGHT,0.0019106999195494523
MICROALB,0.001890587288817369
GAMMA_GT,0.0015285599356395397
JOB_LGST_OCCUPATION,0.0015084473049074675
I_7,0.0014883346741753733
SGPT,0.0013073209975864696
PLATELET,0.0012872083668543533
LDL_C,0.0011866452131938598
BODY_HEIGHT,0.0011464199517296713
I_2,0.0011464199517296492
I_33,0.0010860820595333665
T_CHO,0.0010659694288012612
I_16,0.0010257441673370616
I_21,0.0009452936444086735
I_17,0.000925181013676557
I_31,0.0007843925985518641
I_36,0.0007441673370876644
SIT_2_SYSTOLIC_PRESSURE,0.0006838294448913707
I_8,0.0006436041834271711
SGOT,0.0006033789219629604
BODY_BUTTOCKS,0.0005631536604987608
I_42,0.000502815768302467
I_40,0.0004022526146419847
I_44,0.00038213998390987933
I_29,0.0003821399839098683
HDL_C,0.00032180209171356333
T_SCORE,0.0003016894609814691
SIT_2_HEARTBEAT_SPEED,0.0003016894609814691
I_13,0.0003016894609814691
I_6,0.00028157683024937485
SIT_HEARTBEAT_SPEED_AVERAGE,0.00028157683024936374
I_35,0.0002011263073209757
AFP,0.00018101367658885926
BODY_FAT_RATE,0.00012067578439257653
ANTI_HBC_AB_1,0.00012067578439256543
BMI,8.045052292838805e-05
HB,8.045052292837696e-05
I_19,6.0337892196282716e-05
HBSAG_1,2.011263073209424e-05
