feature,importance
I_18,0.9999999999999999
EYE_DIS,0.8824352078313202
MC_DURATION,0.25789803204838807
I_15,0.24280629319568856
I_35,0.19869855632062075
I_11,0.15382488510065911
MENSTRURATION_CURR,0.1308371936776944
I_22,0.09379695645312208
MENARCHE,0.08444856445166748
I_33,0.08184159785102481
I_12,0.07521291432020465
I_17,0.06515595296760023
BMI,0.05228303631347142
BODY_HEIGHT,0.051194303471921346
I_16,0.05107306441605113
ALIMENTARY_CANAL,0.050118860848128194
T_CHO,0.048086315426362713
BODY_WAISTLINE,0.043571687441524704
DEMENTIA,0.03971489033391979
I_14,0.03920669463695639
LDL_C,0.03787269021300554
HB,0.037025236734058525
HCT,0.036667965167992686
SIT_2_SYSTOLIC_PRESSURE,0.03528801282092918
T_BILIRUBIN,0.03131338802116367
BUN,0.02803344006858387
I_8,0.02785079078093665
SIT_SYSTOLIC_PRESSURE_AVERAGE,0.027797852541138403
JOB_LGST_OCCUPATION,0.022469098206773543
AFP,0.02182708501044531
FASTING_GLUCOSE,0.021780852338004555
T_SCORE,0.020271587856337668
PLATELET,0.018867670353822516
NECK_ACHE,0.01858045658473515
SIT_1_HEARTBEAT_SPEED,0.018146296918918354
TG,0.017756214527423705
CREATININE,0.01760755973966077
HYPERTENSION,0.015864165376101545
HBA1C,0.015859281007473656
SGOT,0.01427154160036231
GAMMA_GT,0.014263056105542
LUNG_RESPIRATORY,0.01412942760120601
ARRHYTHMIA,0.014103254249914909
NERVOUS_SYSTEM,0.013386485770696009
XEROPHTHALMIA,0.013101059396287355
I_1,0.012965926492167528
I_43,0.012885514348404792
WBC,0.012339040867567276
I_24,0.012228896415835789
CARCINOMA_IN_SITU,0.012059804147740374
SIT_HEARTBEAT_SPEED_AVERAGE,0.012043474970047275
BODY_FAT_RATE,0.011191458639494584
ANTI_HBS_AB_1,0.011139095136111356
I_13,0.01005590993447601
I_38,0.00984502549768277
HORMOME_MED,0.009363357829543381
BODY_BUTTOCKS,0.00839889528957721
GOUT,0.008162760566744136
ANTI_HBC_AB_1,0.0076568116195093565
MICROALB,0.007511722180637547
I_30,0.0074693634653660865
I_27,0.007355403137877822
HDL_C,0.007175856315257102
SIT_1_SYSTOLIC_PRESSURE,0.007148180836355149
LUNG_CA,0.006818876500832189
I_3,0.006510222925487987
I_5,0.006345305452561669
SIT_1_DIASTOLIC_PRESSURE,0.006306136900385359
BODY_WEIGHT,0.005791350214639669
IRRITABLE_BOWEL_SND,0.005491057981287795
AGE,0.005054934684080658
ALBUMIN,0.0039712115757527125
PARKISON,0.00396747627773592
SICATICA,0.0035936070562635346
MANIC_DEPRESSION,0.0
RBC,0.0
GASTROESOPHAGEA_REFLUX,0.0
SIT_2_HEARTBEAT_SPEED,0.0
PSYCHOSIS,0.0
SIT_2_DIASTOLIC_PRESSURE,0.0
DEPRESSION,0.0
SIT_DIASTOLIC_PRESSURE_AVERAGE,0.0
POSTPARTUM_DEPRESSION,0.0
DIABETES,0.0
OBSESSIVE_COMPULSIVE_DIS,0.0
ALCOHOLISM_DRUG_ABUSE,0.0
SCHIZOPHRENIA,0.0
EPILEPSY,0.0
HEMICRANIA,0.0
I_44,0.0
MULTIPLE_SCLEROSIS,0.0
PEPTIC_ULCER,0.0
APOPLEXIA,0.0
I_41,0.0
HYPERLIPIDEMIA,0.0
URIC_ACID,0.0
DRK,0.0
NUT_EXPERIENCE,0.0
SPO_HABIT,0.0
ORTHOPEDICS_ARTICULUS,0.0
SGPT,0.0
OSTEOPOROSIS,0.0
ARTHRITIS,0.0
ASTHMA,0.0
EMPHYSEMA_BRONCHITIS,0.0
HEART_BLOOD_TUBE,0.0
VALVE_HEART_DIS,0.0
CORONARY_ARTERY_DIS,0.0
CARDIOMYOPATHY,0.0
CONGENITAL_HEART_DIS,0.0
HBEAG_1,0.0
HBSAG_1,0.0
ANTI_HCV_AB_1,0.0
OTHER_HEART_DIS,0.0
I_42,0.0
COLOR_BLIND,0.0
I_40,0.0
DYSMENORRHEA,0.0
ARTICULUS_ACHE,0.0
BACK_AND_WAIST_ACHE,0.0
I_10,0.0
I_9,0.0
HEADACHE_AND_HEMICRANIA,0.0
I_7,0.0
I_6,0.0
SEX,0.0
I_4,0.0
I_2,0.0
OTHER_EYE_DIS,0.0
CATARACT,0.0
I_0,0.0
OVARIAN_CA,0.0
CERVICAL_CA,0.0
UTERINE_CA,0.0
GLAUCOMA,0.0
RENTINAL_DETACHMENT,0.0
FLOATERS,0.0
BLIND,0.0
OTHER_CA,0.0
PROSTATE_CA,0.0
NASOPHARYNGEAL_CA,0.0
COLORECTAL_CA,0.0
I_37,0.0
I_36,0.0
LIVER_GALL_STONE,0.0
I_34,0.0
KIDNEY_STONE,0.0
I_31,0.0
RENAL_FAILURE,0.0
I_29,0.0
I_28,0.0
VERTIGO,0.0
I_26,0.0
I_25,0.0
LIVER_CA,0.0
I_23,0.0
BREAST_CA,0.0
I_21,0.0
I_20,0.0
I_19,0.0
GASTRIC_CA,0.0
I_39,0.0
