feature,importance
I_18,1.0
I_11,0.9651118422997232
I_16,0.6753350059047701
I_22,0.5668662210969722
MENSTRURATION_CURR,0.4796899529407927
EYE_DIS,0.472898396000942
MC_DURATION,0.3402311022343992
ORTHOPEDICS_ARTICULUS,0.31819042309091017
AGE,0.3055196138179838
I_33,0.29469413528197136
I_24,0.2837851580293719
I_15,0.24222693694784267
ARTICULUS_ACHE,0.21582700761976753
I_12,0.21215492196936153
I_30,0.1939925477537101
BACK_AND_WAIST_ACHE,0.19086005417456461
I_35,0.1896504485995393
I_17,0.17644600041805475
I_9,0.1428807261305275
SPO_HABIT,0.13811952601088995
DIABETES,0.13040970469229782
I_26,0.13006797911572432
I_31,0.12723303938513367
I_23,0.12614604691182535
ANTI_HBC_AB_1,0.11643355423926074
I_42,0.09877290355478006
AFP,0.09387225074805258
HYPERTENSION,0.08780999473657043
OSTEOPOROSIS,0.0810505510817783
ALIMENTARY_CANAL,0.08103086856542464
FLOATERS,0.0722407503602823
XEROPHTHALMIA,0.06980956258346757
BODY_HEIGHT,0.060898405472997894
CARCINOMA_IN_SITU,0.06048249379476275
I_20,0.05890548812077594
TG,0.05585097705703139
NECK_ACHE,0.05527143424540626
BMI,0.055038115978330165
HBA1C,0.05462596741304314
ANTI_HBS_AB_1,0.05286716989863014
I_1,0.0521206009613863
I_4,0.051393458638463986
LDL_C,0.049276688552531665
ARTHRITIS,0.04878979959201244
HCT,0.04875174621153725
FASTING_GLUCOSE,0.04728677075297563
PEPTIC_ULCER,0.047144369609359284
I_37,0.04615065826147187
SGPT,0.04594813905905124
T_CHO,0.0455372909401472
PLATELET,0.04394901809293834
I_5,0.0429119615408256
MENARCHE,0.04282423666016996
BODY_WAISTLINE,0.041347181275003336
GASTROESOPHAGEA_REFLUX,0.0400844206306802
I_7,0.03975889365251852
BODY_FAT_RATE,0.03937312994402608
RBC,0.0393221815480421
HB,0.038919721356185266
I_21,0.03878281627651171
HEADACHE_AND_HEMICRANIA,0.03782333378926771
ALBUMIN,0.03726726945496276
T_SCORE,0.037191660482507986
URIC_ACID,0.03683402144211085
GAMMA_GT,0.03669527685379208
MICROALB,0.036338712766820776
WBC,0.036147026578040725
BUN,0.03571158347131347
I_36,0.03408411259640697
SGOT,0.03355600856959508
BODY_WEIGHT,0.03326963116213964
BODY_BUTTOCKS,0.03208165621780008
HEART_BLOOD_TUBE,0.03140061532709571
JOB_LGST_OCCUPATION,0.03056491137628716
I_34,0.03040098852205017
HDL_C,0.029230587299343712
T_BILIRUBIN,0.028764648566442768
I_14,0.028746284299679976
CREATININE,0.028411430140609362
