feature,importance
I_16,1.0
I_22,0.9558872871000205
I_11,0.885791864943104
ORTHOPEDICS_ARTICULUS,0.8227210622923214
I_17,0.6868291940710973
EYE_DIS,0.6848983195202153
I_18,0.6689542034261097
ARTICULUS_ACHE,0.6094825497836132
MENSTRURATION_CURR,0.5834412054740069
I_33,0.5709500012473351
HEART_BLOOD_TUBE,0.5210116154719844
I_15,0.4314168838850712
I_24,0.4081749303811835
XEROPHTHALMIA,0.36154507487205545
SPO_HABIT,0.36011797933382417
I_30,0.3346529450197419
DIABETES,0.3138978063604188
FLOATERS,0.29705589771935625
I_35,0.28172456328328255
I_26,0.2570573079294837
MC_DURATION,0.24359804805476562
ALIMENTARY_CANAL,0.22354009749005277
I_37,0.21126586769878652
I_42,0.20831939445082318
I_9,0.201323082232775
AGE,0.18789862403488747
I_8,0.1782267679736332
I_34,0.16940833644479844
I_31,0.16525194826508074
CARCINOMA_IN_SITU,0.16502373750629082
BACK_AND_WAIST_ACHE,0.153777111753586
PSYCHOSIS,0.14751190277137216
SGPT,0.14552550016586463
I_29,0.14190606392416533
I_19,0.1401824737683392
I_4,0.13817831571017378
AFP,0.13340975407708447
I_2,0.13098445037163367
I_23,0.12822306720290388
I_44,0.12456376778457433
I_14,0.12355768388243218
DEMENTIA,0.12037552205092385
OSTEOPOROSIS,0.11798652094770244
I_41,0.11635497380493454
BMI,0.1159940816532281
HEADACHE_AND_HEMICRANIA,0.11573317628595597
CATARACT,0.11523956769225091
BODY_HEIGHT,0.11410209302809844
KIDNEY_STONE,0.11081624982655859
HBA1C,0.10959117101251233
SIT_DIASTOLIC_PRESSURE_AVERAGE,0.10818212575157088
BODY_WEIGHT,0.1070754200580949
DEPRESSION,0.10606678994322256
GASTROESOPHAGEA_REFLUX,0.10374454703287873
ANTI_HCV_AB_1,0.10158143520218477
I_10,0.09859362465443151
T_BILIRUBIN,0.09805045665861432
BODY_WAISTLINE,0.09590868971892906
CORONARY_ARTERY_DIS,0.09587311902400264
HCT,0.09527944530085616
TG,0.09337065167170722
MENARCHE,0.0926360847618755
I_5,0.09063751600145227
LUNG_RESPIRATORY,0.08967662273642205
I_38,0.08879725569810452
I_43,0.08752538017430116
RBC,0.0856996033887102
I_39,0.08543100990219038
OTHER_CA,0.08417551260828879
URIC_ACID,0.08348107277405857
ALBUMIN,0.08297074370647342
I_28,0.08294581762395675
T_SCORE,0.08291710624057154
T_CHO,0.08280287922024451
SIT_1_HEARTBEAT_SPEED,0.08207033278691127
I_21,0.08075433459214516
JOB_LGST_OCCUPATION,0.08042413925124028
LDL_C,0.0796784494121135
I_12,0.07900580186011665
SIT_2_HEARTBEAT_SPEED,0.07871617686261646
SIT_1_SYSTOLIC_PRESSURE,0.07826862688623336
NECK_ACHE,0.07662531768384945
WBC,0.07636282273761784
GAMMA_GT,0.07535499668992346
NERVOUS_SYSTEM,0.07463225781445058
HEMICRANIA,0.07458856604102682
FASTING_GLUCOSE,0.07325227236600479
ANTI_HBC_AB_1,0.07306301350771008
HB,0.07086701326772696
I_27,0.07077889575186569
VERTIGO,0.07075729933215005
I_1,0.07026528237911521
SIT_2_SYSTOLIC_PRESSURE,0.07022309771622243
SIT_2_DIASTOLIC_PRESSURE,0.06951778029627195
IRRITABLE_BOWEL_SND,0.0671418277601513
ASTHMA,0.06641045444021358
BUN,0.0663726797765353
CREATININE,0.06501474432416196
VALVE_HEART_DIS,0.06489567434537077
MICROALB,0.0642387576461119
SGOT,0.06388531239349976
SIT_1_DIASTOLIC_PRESSURE,0.0630641845593949
I_40,0.062251664367515606
BODY_BUTTOCKS,0.06197213762908629
LIVER_GALL_STONE,0.06043625180167746
HDL_C,0.060296972934480275
I_6,0.05757154187715874
I_36,0.057337581007191045
GOUT,0.0568206998229609
I_3,0.055032134854023675
PARKISON,0.04837993864761262
PLATELET,0.04704989195605011
ANTI_HBS_AB_1,0.046782784962954155
I_20,0.045360851948347554
PEPTIC_ULCER,0.042369509690143435
HORMOME_MED,0.04202920165819269
SIT_HEARTBEAT_SPEED_AVERAGE,0.03460851103046157
SIT_SYSTOLIC_PRESSURE_AVERAGE,0.02817015339746216
APOPLEXIA,0.02750372602668555
OTHER_HEART_DIS,0.0
OVARIAN_CA,0.0
HBSAG_1,0.0
HBEAG_1,0.0
I_7,0.0
SEX,0.0
NASOPHARYNGEAL_CA,0.0
PROSTATE_CA,0.0
ARTHRITIS,0.0
I_0,0.0
NUT_EXPERIENCE,0.0
GASTRIC_CA,0.0
CERVICAL_CA,0.0
UTERINE_CA,0.0
DRK,0.0
SICATICA,0.0
OTHER_EYE_DIS,0.0
COLOR_BLIND,0.0
BLIND,0.0
DYSMENORRHEA,0.0
COLORECTAL_CA,0.0
BREAST_CA,0.0
CONGENITAL_HEART_DIS,0.0
OBSESSIVE_COMPULSIVE_DIS,0.0
CARDIOMYOPATHY,0.0
ARRHYTHMIA,0.0
HYPERLIPIDEMIA,0.0
HYPERTENSION,0.0
RENTINAL_DETACHMENT,0.0
EMPHYSEMA_BRONCHITIS,0.0
MANIC_DEPRESSION,0.0
POSTPARTUM_DEPRESSION,0.0
ALCOHOLISM_DRUG_ABUSE,0.0
LUNG_CA,0.0
SCHIZOPHRENIA,0.0
I_25,0.0
EPILEPSY,0.0
MULTIPLE_SCLEROSIS,0.0
BODY_FAT_RATE,0.0
RENAL_FAILURE,0.0
LIVER_CA,0.0
I_13,0.0
GLAUCOMA,0.0
