feature,importance
I_18,1.0
I_11,0.890278437748267
AGE,0.4741342784719369
I_23,0.46911514140330096
I_16,0.346854836911832
I_22,0.3192998936083723
ALIMENTARY_CANAL,0.2739248988445407
EYE_DIS,0.25259936107064757
NECK_ACHE,0.25062403046346865
CARCINOMA_IN_SITU,0.2473197299940205
I_30,0.2470650556434817
ANTI_HBC_AB_1,0.23039210222369028
I_1,0.2149939727168031
BACK_AND_WAIST_ACHE,0.18506757525554857
I_24,0.18062137437744682
I_39,0.17171939906201494
ORTHOPEDICS_ARTICULUS,0.1683864383306818
I_40,0.16094086863407314
I_34,0.160420526779195
PEPTIC_ULCER,0.14600112383432878
ARTICULUS_ACHE,0.1458065600744458
DIABETES,0.14572058453309275
I_15,0.13547256717899853
I_8,0.13453822243789965
I_12,0.1325980244552815
I_31,0.1304822096063694
CATARACT,0.11769037721011899
SPO_HABIT,0.10361126387610067
AFP,0.1029850789349205
ANTI_HBS_AB_1,0.09778239024247429
FASTING_GLUCOSE,0.08615037641943894
I_42,0.08339737725253223
HYPERTENSION,0.08230135518262255
HEART_BLOOD_TUBE,0.0815786124895568
BODY_HEIGHT,0.08133103348739126
I_20,0.07924141065190907
T_SCORE,0.07775523237606728
I_5,0.07730787041052854
I_26,0.07703196228929088
HBA1C,0.0759899672995913
GASTROESOPHAGEA_REFLUX,0.06901440037288252
MICROALB,0.06875914082324805
I_33,0.06558366131620104
I_37,0.06045045268972911
LUNG_RESPIRATORY,0.05694823556163879
I_43,0.05548391574966513
ALBUMIN,0.052301015792776843
LDL_C,0.049381371317751506
GOUT,0.04931029485231692
I_6,0.048796069910822124
BUN,0.0473358405233536
I_14,0.046809749963335985
I_41,0.04671346482989544
I_7,0.04525781402277301
SIT_1_HEARTBEAT_SPEED,0.0447384748349089
HB,0.04385068693589471
NERVOUS_SYSTEM,0.043784666472139605
SIT_1_SYSTOLIC_PRESSURE,0.0436117471926079
T_CHO,0.0425022130203413
KIDNEY_STONE,0.042302914989645564
SIT_SYSTOLIC_PRESSURE_AVERAGE,0.041739423689062104
I_17,0.04088267984590526
TG,0.03999630975187307
APOPLEXIA,0.039861304904815605
I_10,0.03969985709166266
CREATININE,0.03969000635125963
I_4,0.038028968286003016
BODY_WAISTLINE,0.03792993434953196
BODY_FAT_RATE,0.037453241236837666
PLATELET,0.036625003339972706
JOB_LGST_OCCUPATION,0.03640032683936435
SIT_DIASTOLIC_PRESSURE_AVERAGE,0.03620542065001956
SIT_2_SYSTOLIC_PRESSURE,0.03591352253690064
BODY_WEIGHT,0.034577447809136255
SGOT,0.0342911440147618
SIT_1_DIASTOLIC_PRESSURE,0.03403204579468932
BMI,0.03391838617574117
BODY_BUTTOCKS,0.03362622901668666
LIVER_GALL_STONE,0.03347111822407126
T_BILIRUBIN,0.033292838353142354
HCT,0.032818126668610295
WBC,0.03190291429680298
SIT_HEARTBEAT_SPEED_AVERAGE,0.031549543635089015
HDL_C,0.03072927598472345
I_36,0.03055618668040504
FLOATERS,0.03031667678373
URIC_ACID,0.02971351626711195
CORONARY_ARTERY_DIS,0.02967950809280404
GAMMA_GT,0.029336403449182556
SIT_2_DIASTOLIC_PRESSURE,0.028942462936854176
SIT_2_HEARTBEAT_SPEED,0.028830539878849388
I_38,0.026567124319124936
RBC,0.026145193983892166
SGPT,0.022845631855179207
ASTHMA,0.020848473209519436
ARTHRITIS,0.020154666651919832
OSTEOPOROSIS,0.02004586906113387
I_9,0.018284220247812864
HYPERLIPIDEMIA,0.01719994426227257
I_2,0.016949265237859994
I_25,0.016116402316329142
I_21,0.014600780407196295
DRK,0.014175821825725458
OTHER_CA,0.012866773314486836
I_13,0.010963807799061523
NUT_EXPERIENCE,0.009949546818456275
HBSAG_1,0.009318261379669127
I_35,0.009067863244904368
I_3,0.00821173805605588
HEADACHE_AND_HEMICRANIA,0.0071422345281915555
ARRHYTHMIA,0.006554186091614651
SICATICA,0.006516165639160002
PSYCHOSIS,0.0059842345613988004
I_27,0.005109835362705719
LUNG_CA,0.004657449487683948
I_44,0.004124166138026094
VERTIGO,0.003272206555886481
OTHER_EYE_DIS,0.0030995028496292923
PARKISON,0.0025618793677862715
LIVER_CA,0.001844304952927174
I_29,0.0015554549511029635
HBEAG_1,0.0
ANTI_HCV_AB_1,0.0
PROSTATE_CA,0.0
MULTIPLE_SCLEROSIS,0.0
DEMENTIA,0.0
EPILEPSY,0.0
NASOPHARYNGEAL_CA,0.0
COLORECTAL_CA,0.0
GASTRIC_CA,0.0
BREAST_CA,0.0
HEMICRANIA,0.0
RENAL_FAILURE,0.0
GLAUCOMA,0.0
MANIC_DEPRESSION,0.0
I_28,0.0
CONGENITAL_HEART_DIS,0.0
VALVE_HEART_DIS,0.0
EMPHYSEMA_BRONCHITIS,0.0
OTHER_HEART_DIS,0.0
IRRITABLE_BOWEL_SND,0.0
I_19,0.0
DEPRESSION,0.0
POSTPARTUM_DEPRESSION,0.0
XEROPHTHALMIA,0.0
OBSESSIVE_COMPULSIVE_DIS,0.0
SEX,0.0
ALCOHOLISM_DRUG_ABUSE,0.0
SCHIZOPHRENIA,0.0
I_0,0.0
COLOR_BLIND,0.0
BLIND,0.0
RENTINAL_DETACHMENT,0.0
CARDIOMYOPATHY,0.0
