feature,importance
I_18,1.0
CATARACT,0.9699118114320777
I_11,0.9186773149131987
I_23,0.8093503554667119
HEART_BLOOD_TUBE,0.5737305126622607
I_16,0.5548473238370545
LUNG_RESPIRATORY,0.49245945459480256
ANTI_HBC_AB_1,0.4680177637805517
EYE_DIS,0.4598600350221015
NECK_ACHE,0.44363450981507097
I_43,0.43100248903521693
BACK_AND_WAIST_ACHE,0.3957952878448929
I_22,0.38268298256398503
I_30,0.3774557362151283
CARCINOMA_IN_SITU,0.34854973403572753
I_34,0.3363446257187935
I_39,0.3291462316808672
I_31,0.326715633312647
I_26,0.2885135117017768
OSTEOPOROSIS,0.280374382289949
PEPTIC_ULCER,0.2601702461612885
I_8,0.25529086505220644
I_42,0.2522946677886428
I_24,0.25217896453053523
AGE,0.23754195972164652
ORTHOPEDICS_ARTICULUS,0.22074147210381037
I_1,0.2195995488317759
I_40,0.21929605388686121
ARTICULUS_ACHE,0.21328041017645585
DIABETES,0.2101499315888792
I_7,0.20816231262488322
GOUT,0.20328441052562987
ANTI_HBS_AB_1,0.19446485146974635
I_21,0.18767755832203928
NERVOUS_SYSTEM,0.18180576161792011
I_4,0.17277650237711992
GASTROESOPHAGEA_REFLUX,0.16906359184708494
T_SCORE,0.16335048544933106
I_5,0.1560430064562716
I_33,0.1557367620427258
I_20,0.15140938570699372
I_37,0.15027582575672419
I_2,0.15012752895252182
HYPERTENSION,0.14890292158281376
I_14,0.14713205310526306
COLORECTAL_CA,0.14516129059717053
FLOATERS,0.14241530987554227
SPO_HABIT,0.14188159800649053
OTHER_CA,0.1313675044047892
I_15,0.13035266319022035
MICROALB,0.12996596915428174
ASTHMA,0.12708447495512853
I_38,0.12534391234659956
LUNG_CA,0.12380529522972725
LIVER_GALL_STONE,0.12375486631474886
I_12,0.12023443348539539
I_25,0.11987498727945142
BODY_HEIGHT,0.11961899515093326
ALIMENTARY_CANAL,0.11563749217986853
I_10,0.11532607229595825
AFP,0.11429884357604743
HBA1C,0.11397225266901687
CREATININE,0.11393942077889212
BUN,0.11393554768840551
BODY_WAISTLINE,0.11065218630212174
I_36,0.1090042373737995
HEADACHE_AND_HEMICRANIA,0.10865599972147796
APOPLEXIA,0.10799529730204348
CORONARY_ARTERY_DIS,0.1055689848702189
T_BILIRUBIN,0.10448944389187881
HDL_C,0.10190286212449057
ALBUMIN,0.101441892002149
FASTING_GLUCOSE,0.10015581315343239
SGPT,0.0988825687051139
HBSAG_1,0.09653886588845355
HYPERLIPIDEMIA,0.0957501705968675
GAMMA_GT,0.09524536645373323
SIT_1_HEARTBEAT_SPEED,0.09391087823007765
T_CHO,0.0932995257932717
SIT_DIASTOLIC_PRESSURE_AVERAGE,0.09236258902734738
I_3,0.0892144474446945
HCT,0.08727864702649436
SIT_HEARTBEAT_SPEED_AVERAGE,0.08699798841894871
XEROPHTHALMIA,0.0861963097619458
RBC,0.0853231555608918
I_9,0.08421911834925988
WBC,0.08361036854413804
BMI,0.07965805633252634
SIT_2_SYSTOLIC_PRESSURE,0.07915259674330974
SIT_1_DIASTOLIC_PRESSURE,0.07906549689686714
JOB_LGST_OCCUPATION,0.07682475018885572
SIT_SYSTOLIC_PRESSURE_AVERAGE,0.07675556232187773
PLATELET,0.0765612055338887
I_17,0.07564895652770884
SIT_2_DIASTOLIC_PRESSURE,0.07518650101132351
SIT_1_SYSTOLIC_PRESSURE,0.07478744926304665
KIDNEY_STONE,0.07385225113169788
LDL_C,0.07368292897913975
SGOT,0.0725017747053908
BODY_FAT_RATE,0.07196404290890546
TG,0.07192891908556419
NUT_EXPERIENCE,0.07092469269261463
BODY_BUTTOCKS,0.07053019076162366
I_6,0.07049138324617674
BODY_WEIGHT,0.06706283842458172
DRK,0.06683556036745669
I_41,0.06652576633032209
URIC_ACID,0.0646825306466797
HB,0.06321932813456768
SIT_2_HEARTBEAT_SPEED,0.02837909162748922
HBEAG_1,0.0
ANTI_HCV_AB_1,0.0
NASOPHARYNGEAL_CA,0.0
I_44,0.0
SCHIZOPHRENIA,0.0
EPILEPSY,0.0
HEMICRANIA,0.0
MULTIPLE_SCLEROSIS,0.0
PARKISON,0.0
DEMENTIA,0.0
I_0,0.0
OTHER_EYE_DIS,0.0
COLOR_BLIND,0.0
BLIND,0.0
RENTINAL_DETACHMENT,0.0
GLAUCOMA,0.0
RENAL_FAILURE,0.0
VERTIGO,0.0
SICATICA,0.0
LIVER_CA,0.0
BREAST_CA,0.0
GASTRIC_CA,0.0
SEX,0.0
I_13,0.0
ARTHRITIS,0.0
ALCOHOLISM_DRUG_ABUSE,0.0
EMPHYSEMA_BRONCHITIS,0.0
VALVE_HEART_DIS,0.0
PROSTATE_CA,0.0
ARRHYTHMIA,0.0
CARDIOMYOPATHY,0.0
CONGENITAL_HEART_DIS,0.0
OTHER_HEART_DIS,0.0
I_29,0.0
I_28,0.0
I_27,0.0
IRRITABLE_BOWEL_SND,0.0
PSYCHOSIS,0.0
DEPRESSION,0.0
I_19,0.0
MANIC_DEPRESSION,0.0
POSTPARTUM_DEPRESSION,0.0
OBSESSIVE_COMPULSIVE_DIS,0.0
I_35,0.0
